,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
378,195,Baran-atru ,BABOO LAL VERMA,Bharatiya Janata Party,12248,20600,RAMPAL,Bharatiya Janata Party,Rajasthan,PANA CHAND MEGHWAL,Indian National Congress
379,78,Bari,JASVANT SINGH,Bharatiya Janata Party,19683,2801,GIRRAJ SINGH,Indian National Congress,Rajasthan,GIRRAJ SINGH,Indian National Congress
380,171,Bari sadri ,PRAKASH CHOUDHARY,Indian National Congress,8810,17261,GAUTAM KUMAR,Bharatiya Janata Party,Rajasthan,LALIT KUMAR OSTWAL,Bharatiya Janata Party
381,135,Barmer,COL. SONARAM CHOUDHARY (RETD),Bharatiya Janata Party,33047,5913,MEWARAM JAIN,Indian National Congress,Rajasthan,MEWARAM JAIN,Indian National Congress
382,77,Baseri ,CHHITRIYA LAL JATAV,Bharatiya Janata Party,17556,5748,RANI SILAUTIA,Bharatiya Janata Party,Rajasthan,KHILADI LAL BAIRWA,Indian National Congress
383,57,Bassi ,KANHAIYALAL,Bharatiya Janata Party,42764,11339,ANJU DEVI DHANKA,Independent,Rajasthan,LAXMAN MEENA,Independent
384,76,Bayana,DR. RITU BANAWAT,Bharatiya Janata Party,6695,5811,BACHCHU SINGH,Bharatiya Janata Party,Rajasthan,AMAR SINGH,Indian National Congress
385,136,Baytu,UMMEDA RAM,Rashtriya Loktantrik Party,13803,13974,KAILASH CHOUDHARY,Bharatiya Janata Party,Rajasthan,HARISH CHOUDHARY,Indian National Congress
386,103,Beawar,PARASMAL JAIN,Indian National Congress,4502,42909,SHANKAR SINGH,Bharatiya Janata Party,Rajasthan,SHANKAR SINGH RAWAT,Bharatiya Janata Party
387,168,Begun,DR. SURESH DHAKER,Bharatiya Janata Party,1661,21298,SURESH DHAKER,Bharatiya Janata Party,Rajasthan,BIDHURI RAJENDRA SINGH,Indian National Congress
388,62,Behror,RAMCHANDRA YADAV,Indian National Congress,3836,18585,DR. JASWANT SINGH YADAV,Bharatiya Janata Party,Rajasthan,BALJEET YADAV,Independent
389,11,Bhadra,SANJEEV KUMAR,Bharatiya Janata Party,23153,26488,SANJEEV KUMAR,Bharatiya Janata Party,Rajasthan,BALWAN POONIA,Communist Party of India  (Marxist)
390,73,Bharatpur,VIJAY BANSAL(PAPPU BANDA),Bharatiya Janata Party,15710,22694,VIJAY BANSAL (PAPPU BANDA),Bharatiya Janata Party,Rajasthan,DR. SUBHASH GARG,Rashtriya Lok Dal
391,180,Bhilwara,OM PRAKASH NARANIWAL,Independent,49578,46116,VITTHAL SHANKAR AVASTHI,Bharatiya Janata Party,Rajasthan,VITTHAL SHANKAR AWASTHI,Bharatiya Janata Party
392,173,Bhim ,HARI SINGH CHOUHAN (RAWAT),Bharatiya Janata Party,3714,18451,HARI SINGH RAWAT (PANNA SINGH),Bharatiya Janata Party,Rajasthan,SUDARSHAN SINGH RAWAT,Indian National Congress
393,143,Bhinmal,SAMARJIT SINGH,Indian National Congress,9646,40191,POORA RAM CHOUDHARY,Bharatiya Janata Party,Rajasthan,POORARAM CHOUDHARY,Bharatiya Janata Party
394,126,Bhopalgarh ,BHANWARLAL BALAI,Indian National Congress,4962,35810,KAMASA,Bharatiya Janata Party,Rajasthan,PUKHRAJ,Rashtriya Loktantrik Party
395,14,Bikaner East,KANHAIYA LAL JHANWAR,Indian National Congress,7061,31677,SIDDHI KUMARI,Bharatiya Janata Party,Rajasthan,SIDDHI KUMARI,Bharatiya Janata Party
396,13,Bikaner West,GOPAL KRISHN,Bharatiya Janata Party,6190,6424,GOPAL KRISHNA,Bharatiya Janata Party,Rajasthan,BULAKI DAS KALLA,Indian National Congress
397,131,Bilara ,ARJUN LAL,Bharatiya Janata Party,9618,35941,ARJUNLAL,Bharatiya Janata Party,Rajasthan,HEERARAM,Indian National Congress
398,186,Bundi,HARIMOHAN SHARMA,Indian National Congress,713,27636,ASHOK DOGRA,Bharatiya Janata Party,Rajasthan,ASHOK DOGRA,Bharatiya Janata Party
399,58,Chaksu   ,RAMAVATAR BAIRWA,Bharatiya Janata Party,3431,12358,LAXMINARAIN BAIRWA,Bharatiya Janata Party,Rajasthan,VED PRAKASH SOLANKI,Indian National Congress
400,196,Chhabra,KARAN SINGH,Indian National Congress,3744,61385,PRATAP SINGH,Bharatiya Janata Party,Rajasthan,PRATAP SINGH,Bharatiya Janata Party
401,169,Chittorgarh,SURENDRA SINGH JADAWAT,Indian National Congress,23894,11850,CHANDRABHAN SINGH (AKYA),Bharatiya Janata Party,Rajasthan,CHANDRABHAN SINGH AAKYA,Bharatiya Janata Party
402,140,Chohtan ,ADU RAM MEGHWAL,Bharatiya Janata Party,4262,23526,TARUN RAI KAGA,Bharatiya Janata Party,Rajasthan,PADMARAM,Indian National Congress
403,43,Chomu,BHAGWAN SAHAI SAINI,Indian National Congress,1288,44473,RAMLAL SHARMA,Bharatiya Janata Party,Rajasthan,RAMLAL SHARMA,Bharatiya Janata Party
404,161,Chorasi ,SUSHIL KATARA,Bharatiya Janata Party,12934,20313,SUSHIL KATARA,Bharatiya Janata Party,Rajasthan,RAJKUMAR ROAT,Bhartiya Tribal Party
405,22,Churu,RAFIQUE MANDELIA,Indian National Congress,1850,24002,RAJENDRA RATHORE,Bharatiya Janata Party,Rajasthan,RAJENDRA RATHORE,Bharatiya Janata Party
406,51,Civil lines,ARUN CHATURVEDI,Bharatiya Janata Party,18078,11129,ARUN CHATURVEDI,Bharatiya Janata Party,Rajasthan,PRATAP SINGH KHACHARIYAWAS,Indian National Congress
407,197,Dag ,MADAN LAL,Indian National Congress,19513,50397,RAMCHANDRA,Bharatiya Janata Party,Rajasthan,KALURAM,Bharatiya Janata Party
408,36,DANTARAMGARH,HARISH CHAND KUMAWAT,Bharatiya Janata Party,920,575,NARAYAN SINGH,Indian National Congress,Rajasthan,VIRENDRA SINGH,Indian National Congress
409,88,Dausa ,SHANKAR LAL SHARMA,Bharatiya Janata Party,50948,25172,SHANKAR LAL SHARMA,Bharatiya Janata Party,Rajasthan,MURARI LAL,Indian National Congress
410,107,Deedwana,JITENDRA SINGH,Bharatiya Janata Party,40602,11444,YOONUS KHAN,Bharatiya Janata Party,Rajasthan,CHETAN SINGH CHOUDHARY,Indian National Congress
411,72,Deeg-kumher,DR. SHAILESH SINGH,Bharatiya Janata Party,8218,11162,VISHVENDRA SINGH,Indian National Congress,Rajasthan,VISHVENDRA SINGH,Indian National Congress
412,112,Degana,AJAY SINGH KILAK,Bharatiya Janata Party,21538,14482,AJAY SINGH,Bharatiya Janata Party,Rajasthan,VIJAYPAL MIRDHA,Indian National Congress
413,97,Deoli - uniara,RAJENDRA GURJAR,Bharatiya Janata Party,21476,29635,RAJENDRA GUJAR,Bharatiya Janata Party,Rajasthan,HARISH CHANDRA MEENA,Indian National Congress
414,157,Dhariyawad  ,NAGRAJ,Indian National Congress,23842,7174,GOTAM LAL,Bharatiya Janata Party,Rajasthan,GOTAM LAL,Bharatiya Janata Party
415,34,DHOD,PEMA RAM,Communist Party of India  (Marxist),14053,45071,GORDHAN,Bharatiya Janata Party,Rajasthan,PARASRAM MORDIA,Indian National Congress
416,79,Dholpur,DR. SHIV CHARAN SINGH KUSHAWAH,Indian National Congress,19360,9209,B. L . KUSHWAH,Bahujan Samaj Party,Rajasthan,SHOBHARANI KUSHWAH,Bharatiya Janata Party
417,45,Dudu ,DR. PREM CHAND BAIRWA,Bharatiya Janata Party,14779,33720,DR.PREMCHAND BAIRWA,Bharatiya Janata Party,Rajasthan,BABULAL NAGAR,Independent
418,158,Dungarpur ,MADHAVLAL VARAHAT,Bharatiya Janata Party,27898,3845,DEVENDRA KATARA,Bharatiya Janata Party,Rajasthan,GANESH GHOGRA,Indian National Congress
419,32,Fatehpur,SUNITA KUMARI,Bharatiya Janata Party,860,3926,NAND KISHORE  MAHARIA,Independent,Rajasthan,HAKAM ALI KHAN,Indian National Congress
420,2,Ganganagar,ASHOK CHANDAK,Indian National Congress,9180,37068,KAMINI JINDAL,National Unionist Zamindara Party,Rajasthan,RAJ KUMAR GAUR,Independent
421,90,Gangapur,MANSINGH GURJAR,Bharatiya Janata Party,10066,28375,MAN SINGH,Bharatiya Janata Party,Rajasthan,RAMKESH,Independent
422,163,Garhi ,KANTA BHIL,Indian National Congress,24401,24450,JEETMAL KHANT,Bharatiya Janata Party,Rajasthan,KAILASH CHANDRA MEENA,Bharatiya Janata Party
423,162,Ghatol ,NANALAL NINAMA,Indian National Congress,4449,27198,NAVANIT LAL,Bharatiya Janata Party,Rajasthan,HARENDRA NINAMA,Bharatiya Janata Party
424,149,Gogunda ,DR. MANGI LAL GARASIYA,Indian National Congress,4411,3345,PRATAP LAL BHEEL,Bharatiya Janata Party,Rajasthan,PRATAP LAL BHEEL (GAMETI),Bharatiya Janata Party
425,139,Gudhamalani,LADU RAM,Bharatiya Janata Party,13564,33155,LADU RAM,Bharatiya Janata Party,Rajasthan,HEMARAM CHOUDHARY,Indian National Congress
426,8,Hanumangarh,RAMPRATAP,Bharatiya Janata Party,15522,30487,RAMPRATAP,Bharatiya Janata Party,Rajasthan,VINOD KUMAR,Indian National Congress
427,49,Hawa mahal,SURENDRA PAREEK,Bharatiya Janata Party,9282,12715,SURENDRA PAREEK,Bharatiya Janata Party,Rajasthan,DR. MAHESH JOSHI,Indian National Congress
428,82,Hindaun ,MANJU KHAIRWAL,Bharatiya Janata Party,26780,8111,RAJKUMARI,Bharatiya Janata Party,Rajasthan,BHAROSI LAL,Indian National Congress
429,184,Hindoli,OMENDRA SINGH HADA,Bharatiya Janata Party,30541,18453,ASHOK,Indian National Congress,Rajasthan,ASHOK,Indian National Congress
